tract,ZIPCODE
239202,90001
239330,90001
239501,90001
239502,90001
239801,90001
239802,90001
240010,90001
532700,90001
532800,90001
532900,90001
533001,90001
533002,90001
534900,90001
535001,90001
535002,90001
535101,90001
535102,90001
535300,90001
240010,90002
240020,90002
240700,90002
240800,90002
242000,90002
242100,90002
242200,90002
242300,90002
242700,90002
243000,90002
535102,90002
535200,90002
535300,90002
535400,90002
540300,90002
232700,90003
237102,90003
237600,90003
237710,90003
237720,90003
238310,90003
238320,90003
239201,90003
239202,90003
239310,90003
239320,90003
239330,90003
239501,90003
239502,90003
239601,90003
239602,90003
239701,90003
239702,90003
239801,90003
239802,90003
240010,90003
240020,90003
240200,90003
240300,90003
240401,90003
240402,90003
240500,90003
240600,90003
240700,90003
240800,90003
240900,90003
241110,90003
241120,90003
241201,90003
191902,90004
192300,90004
192410,90004
192420,90004
192510,90004
192520,90004
192610,90004
192620,90004
192700,90004
195802,90004
195903,90004
208610,90004
211000,90004
211121,90004
211122,90004
211201,90004
211202,90004
211310,90004
211320,90004
211410,90004
211420,90004
211500,90004
214100,90004
209401,90005
211000,90005
211120,90005
211701,90005
211704,90005
211802,90005
212101,90005
212102,90005
212202,90005
212203,90005
212204,90005
212303,90005
212304,90005
212305,90005
212306,90005
212410,90005
212420,90005
212501,90005
212502,90005
212610,90005
212620,90005
212701,90005
212702,90005
216100,90005
209401,90006
209402,90006
209510,90006
209520,90006
209810,90006
209820,90006
212202,90006
212305,90006
212306,90006
212420,90006
212501,90006
212502,90006
212620,90006
213100,90006
213201,90006
213202,90006
213310,90006
213320,90006
213401,90006
213402,90006
221110,90006
221120,90006
221210,90006
221220,90006
221302,90006
221303,90006
221602,90006
224310,90006
224320,90006
221120,90007
221220,90007
221500,90007
221601,90007
221602,90007
221710,90007
221810,90007
221820,90007
221900,90007
222100,90007
222200,90007
222500,90007
222600,90007
222700,90007
224020,90007
224320,90007
224410,90007
224420,90007
224600,90007
224700,90007
231100,90007
231210,90007
231220,90007
234000,90008
234200,90008
234300,90008
234502,90008
236000,90008
236100,90008
236202,90008
236203,90008
236204,90008
236400,90008
703100,90008
703200,90008
980028,90009
211000,90010
211120,90010
211701,90010
211704,90010
211802,90010
212101,90010
212102,90010
212203,90010
212204,90010
212303,90010
212304,90010
212410,90010
212502,90010
212610,90010
212702,90010
224020,90011
224600,90011
226001,90011
226410,90011
226420,90011
226700,90011
227010,90011
227020,90011
228100,90011
228210,90011
228220,90011
228310,90011
228320,90011
228410,90011
228420,90011
228500,90011
228600,90011
228710,90011
228720,90011
228800,90011
228900,90011
229100,90011
229200,90011
229300,90011
229410,90011
229420,90011
231100,90011
239202,90011
532700,90011
532800,90011
197600,90012
197700,90012
206010,90012
206020,90012
206031,90012
206200,90012
207101,90012
207102,90012
207103,90012
207301,90012
207302,90012
207400,90012
207501,90012
207502,90012
208000,90012
980010,90012
206031,90013
206200,90013
206300,90013
207301,90013
207302,90013
207502,90013
207710,90013
206300,90014
207301,90014
207302,90014
207710,90014
226002,90014
207301,90015
207710,90015
207900,90015
209300,90015
209403,90015
209520,90015
209820,90015
210010,90015
224010,90015
224020,90015
224200,90015
224320,90015
224410,90015
224420,90015
226001,90015
226002,90015
218210,90016
218220,90016
218300,90016
218400,90016
218500,90016
218600,90016
218701,90016
218702,90016
219300,90016
219500,90016
219700,90016
219800,90016
219901,90016
219902,90016
220000,90016
220100,90016
234200,90016
236000,90016
236100,90016
236202,90016
236203,90016
236204,90016
270300,90016
702400,90016
702502,90016
703100,90016
207710,90017
208000,90017
208301,90017
208302,90017
208401,90017
208902,90017
208904,90017
209102,90017
209103,90017
209104,90017
209200,90017
209300,90017
209403,90017
218110,90018
218120,90018
218701,90018
218702,90018
218800,90018
218900,90018
219010,90018
219020,90018
219300,90018
221210,90018
221302,90018
221401,90018
221402,90018
221500,90018
222001,90018
222002,90018
222100,90018
222200,90018
222500,90018
231300,90018
231400,90018
234000,90018
234200,90018
212620,90019
212701,90019
212702,90019
212800,90019
212900,90019
213100,90019
216100,90019
216200,90019
216300,90019
216700,90019
216800,90019
216900,90019
217100,90019
217200,90019
218110,90019
218120,90019
218210,90019
218220,90019
218300,90019
218800,90019
221302,90019
221303,90019
221304,90019
270300,90019
208710,90020
211000,90020
211120,90020
211121,90020
211122,90020
211310,90020
211320,90020
211410,90020
211420,90020
211500,90020
211701,90020
211703,90020
211704,90020
211802,90020
211803,90020
211804,90020
211910,90020
211921,90020
211922,90020
212101,90020
212102,90020
214100,90020
206031,90021
206300,90021
226001,90021
226002,90021
482001,90022
530202,90022
530301,90022
530302,90022
530400,90022
530500,90022
530602,90022
531000,90022
531301,90022
531502,90022
531503,90022
531504,90022
531602,90022
531603,90022
531604,90022
531701,90022
531702,90022
531800,90022
531901,90022
531902,90022
532001,90022
532302,90022
532303,90022
203900,90023
204120,90023
204300,90023
204600,90023
204700,90023
204810,90023
204820,90023
204910,90023
204920,90023
205110,90023
205120,90023
206031,90023
206050,90023
531201,90023
531202,90023
531301,90023
531302,90023
531503,90023
532302,90023
265100,90024
265201,90024
265202,90024
265301,90024
265303,90024
265304,90024
